sequence	trait1	metadata_NSTI
Abditibacterium_utsteinense-_-KY386500--_R-68213_T	19.3941365293806	0.654661
Abiotrophia_defectiva-_-D50541--_GIFU12707_-ATCC49176-_T	15.7681465373636	0.168331
Absicoccus_porci-_-MG931004--_YH-PanP20_T	27.7066752749317	0.538471
Abyssalbus_ytuae-_-ON495953--_MT3330T	18.9908798773937	0.840551
Abyssibacter_profundi-_-KY612316--_OUC007_T	18.5562260769804	0.289021
Abyssibius_alkaniclasticus-_-OK489460--_960558T	18.5562260769804	0.604531
Abyssicoccus_albus-_-KT935587--_LIPI11-2-Ac043_T	15.7681465373636	0.203
Abyssivirga_alkaniphila-_-KP233895--_L81_T	19.3941365293806	0.492111
Acanthopleuribacter_pedis-_-AB303221--_NBRC_101209_T	19.3941365293806	0.601651
Acaricomes_phytoseiuli-_-AQXM01000028--_DSM_14247_T	8.38833190438464	0.102012
Acerihabitans_arboris-_-MN737198--_SAP-6_T	2.90398056351063	0.166591
Acetanaerobacterium_elongatum-_-AY487928--_Z7_T	19.3941365293806	0.490611
Acetatifactor_muris-_-HM989805--_CT-m2_T	19.3941365293806	0.628561
Acetilactobacillus_jinshanensis-_-KT783533--_HSLZ-75_T	15.7681465373636	0.295931
Acetitomaculum_ruminis-_-M59083--_139B-_ATCC_43876_T	19.3941365293806	0.621241
Acetivibrio_aldrichii-_-X71846--_DSM_6159_T	19.3941365293806	0.41184
Acetivibrio_alkalicellulosi-_-AY959944--_Z-7026_T	19.3941365293806	0.39509
Acetivibrio_cellulolyticus-_-AEDB02000059--_CD2_T	19.3941365293806	0.40772
Acetivibrio_clariflavus-_-AB186359--_EBR45_T	19.3941365293806	0.42622
Acetivibrio_ethanolgignens-_-FR749897--_DSM_3005_T	19.3941365293806	0.56424
Acetivibrio_mesophilus-_-MK138666--_N2K1_T	19.3941365293806	0.38037
Acetivibrio_saccincola-_-LN868252--_GGR1_T	19.3941365293806	0.36885
Acetivibrio_straminisolvens-_-AB125279--_CSK1_T	19.3941365293806	0.37392
Acetivibrio_thermocellus-_-CP000568--_ATCC_27405_T	19.3941365293806	0.41562
Acetoanaerobium_noterae-_-GU562448--_ATCC_35199_T	19.3941365293806	0.49307
Acetoanaerobium_pronyense-_-KJ174056--_ST07-YE_T	19.3941365293806	0.46645
Acetoanaerobium_sticklandii-_-FP565809--_DSM_519_T	19.3941365293806	0.45255
Acetobacter_aceti-_-X74066--_NCIB8621-_DSM3508_T	18.5562260769804	0.66177
Acetobacter_cerevisiae-_-AJ419843--_LMG_1625_T	18.5562260769804	0.69139
Acetobacter_cibinongensis-_-AB681085--_NBRC_16605_T	18.5562260769804	0.70505
Acetobacter_conturbans-_-MN744433--_LMG_1627__T	18.5562260769804	0.66466
Acetobacter_estunensis-_-AJ419838--_LMG_1626_T	18.5562260769804	0.66536
Acetobacter_fabarum-_-AM905849--_R-36330=985=LMG_24244_T	18.5562260769804	0.65813
Acetobacter_fallax-_-MN744434--_LMG_1636__T	18.5562260769804	0.68201
Acetobacter_farinalis-_-AB602333--_G360-1_LTP__T	18.5562260769804	0.70001
Acetobacter_garciniae-_-MW680864--_MS16-SU-2T	18.5562260769804	0.70797
Acetobacter_ghanensis-_-EF030713--_430A_T	18.5562260769804	0.65307
Acetobacter_indonesiensis-_-AB681067--_NBRC_16471_T	18.5562260769804	0.68776
Acetobacter_lambici-_-HF969863--_LMG_27439_T	18.5562260769804	0.65956
Acetobacter_lovaniensis-_-AB032351--_NBRC_13753_-=_IFO_13753-_T	18.5562260769804	0.661
Acetobacter_malorum-_-AJ419844--_LMG_1746_T	18.5562260769804	0.69282
Acetobacter_musti-_-HM162854--_Bo7_T	18.5562260769804	0.67407
Acetobacter_nitrogenifigens-_-AY669513--_RG1_T	18.5562260769804	0.68426
Acetobacter_oeni-_-AY829472--_B13_T	18.5562260769804	0.67697
Acetobacter_okinawensis-_-AB665068--_1-35_T	18.5562260769804	0.65884
Acetobacter_orientalis-_-AB681086--_NBRC_16606_T	18.5562260769804	0.6892
Acetobacter_orleanensis-_-AB032350--_NBRC_13752_-=_IFO_13752-_T	18.5562260769804	0.69642
Acetobacter_oryzifermentans-_-CP011120--_SLV-7_n_T	18.5562260769804	0.67694
Acetobacter_oryzoeni-_-MK367404--_B6_T	18.5562260769804	0.67622
Acetobacter_papayae-_-AB665066--_1-25_T	18.5562260769804	0.68795
Acetobacter_pasteurianus-_-GU205100--_LMG_1591_T	18.5562260769804	0.67695
Acetobacter_pasteurianus-_-X71863--_NBRC_106471_LTP__T	18.5562260769804	0.67767
Acetobacter_persici-_-AB665070--_T-120_T	18.5562260769804	0.69498
Acetobacter_pomorum-_-AJ419835--_LMG_18848_T	18.5562260769804	0.67261
Acetobacter_sacchari-_-LC103252--_VTH-Ai14_T	18.5562260769804	0.67338
Acetobacter_senegalensis-_-AY883036--_CWBI-B418_T	18.5562260769804	0.69664
Acetobacter_sicerae-_-AJ419840--_LMG_1531_T	18.5562260769804	0.66249
Acetobacter_suratthaniensis-_-AB937774--_BCC_26087_T	18.5562260769804	0.68445
Acetobacter_syzygii-_-AB681084--_NBRC_16604_T	18.5562260769804	0.65451
Acetobacter_thailandicus-_-AB937775--_BCC_15839_T	18.5562260769804	0.66029
Acetobacter_tropicalis-_-AB032355--_NRIC_0312_T	18.5562260769804	0.6899
Acetobacter_vaccinii-_-MN121517--_KACC21233_T	18.5562260769804	0.65453
Acetobacterium_bakii-_-X96960--_DSM_8239_T	19.3941365293806	0.43561
Acetobacterium_carbinolicum-_-X96956--_DSM_2925_T	19.3941365293806	0.43158
Acetobacterium_fimetarium-_-X96959--_DSM_8238_T	19.3941365293806	0.43228
Acetobacterium_malicum-_-X96957--_DSM_4132_T	19.3941365293806	0.42732
Acetobacterium_paludosum-_-X96958--_DSM_8237_T	19.3941365293806	0.43853
Acetobacterium_tundrae-_-AJ297449--_DSM_9173_T	19.3941365293806	0.44634
Acetobacterium_wieringae-_-X96955--_DSM_1911_T	19.3941365293806	0.42084
Acetobacterium_woodii-_-CP002987--_DSM_1030_T	19.3941365293806	0.4088
Acetobacteroides_hydrogenigenes-_-AB611036--_RL-C_T	18.9908798773937	0.830121
Acetohalobium_arabaticum-_-CP002105--_DSM_5501_T	19.3941365293806	0.536011
Acetomicrobium_flavidum-_-FR733692--_DSM20664_T	18.9908798773937	0.56714
Acetomicrobium_hydrogeniformans-_-FJ862996--_OS1_T	18.9908798773937	0.57207
Acetomicrobium_mobile-_-AB910748--_JCM_12221_T	18.9908798773937	0.56504
Acetomicrobium_thermoterrenum-_-U50711--_RWcit_T	18.9908798773937	0.57558
Acetonema_longum-_-AFGF01000106--_DSM_6540_T	19.3941365293806	0.476191
Acholeplasma_axanthum-_-AUAL01000024--_ATCC_25176_T	27.7066752749317	0.4656
Acholeplasma_brassicae-_-AY538163--_0502_T	27.7066752749317	0.4419
Acholeplasma_cavigenitalium-_-AY538164--_GP3_T	27.7066752749317	0.50038
Acholeplasma_equifetale-_-AY538165--_C112_T	27.7066752749317	0.49111
Acholeplasma_equirhinis-_-EU925159--_N93_T	27.7066752749317	0.49593
Acholeplasma_granularum-_-AY538166--_BTS-39_T	27.7066752749317	0.51074
Acholeplasma_hippikon-_-AY538167--_C1_T	27.7066752749317	0.4954
Acholeplasma_laidlawii-_-AB680603--_NBRC_14400_T	27.7066752749317	0.50996
Acholeplasma_modicum-_-M23933--_PG_49-_ATCC_29102_T	27.7066752749317	0.47505
Acholeplasma_morum-_-AY538168--_72-043_T	27.7066752749317	0.44921
Acholeplasma_multilocale-_-FJ595100--_ATCC_49900_T	27.7066752749317	0.3786
Acholeplasma_oculi-_-U14904--_19L_ATCC_27350_T	27.7066752749317	0.51987
Acholeplasma_palmae-_-FO681347--_J233_T	27.7066752749317	0.42628
Acholeplasma_parvum-_-AY538170--_H23M_T	27.7066752749317	0.43842
Acholeplasma_pleciae-_-AB681174--_NBRC_100476_T	27.7066752749317	0.51424
Acholeplasma_vituli-_-AF031479--_FC-097_T	27.7066752749317	0.46696
Achromobacter_aegrifaciens-_-HF586507--_LMG_26852_T	8.7278814266262	0.25486
Achromobacter_agilis-_-HG324050--_LMG_3411_T	8.7278814266262	0.24437
Achromobacter_aloeverae-_-LC094463--_AVA-1_T	8.7278814266262	0.23051
Achromobacter_animicus-_-HE613448--_R-46662_T	8.7278814266262	0.24786
Achromobacter_anxifer-_-HF586508--_LMG_26857_T	8.7278814266262	0.24438
Achromobacter_deleyi-_-HG324053--_LMG_3458_T	8.7278814266262	0.25137
Achromobacter_denitrificans-_-AJ278451--_DSM_30026_-T-_T	8.7278814266262	0.24437
Achromobacter_dolens-_-HF586509--_LMG_26840_T	8.7278814266262	0.24438
Achromobacter_insolitus-_-AY170847--_LMG_6003_T	8.7278814266262	0.25066
Achromobacter_insuavis-_-HF586506--_LMG_26845_T	8.7278814266262	0.25137
Achromobacter_kerstersii-_-HG324052--_LMG_3441_T	8.7278814266262	0.25137
Achromobacter_marplatensis-_-HE613447--_R-46660_T	8.7278814266262	0.25836
