Physiology	Rank	Attribute	meanSource	sdSource	meanTaxpool	sdTaxpool	meanInh1	sdInh1	meanAsr	sdAsr	meanInh2	sdInh2
coding_genes	all	average	3409.4	8.909420731886994	2154.4	11.393955512561133	43661.9	299.0999275604504	1947.9	9.267026371915524	19362.6	135.53367765163676
coding_genes	all	small	51.3	2.869378562220979	21	2.581988897471611	146.4	28.771899871614703	0	0	0	0
coding_genes	all	very large	275.3	6.290204024248075	187	4.0276819911981905	7236.5	481.50948992609574	137	10.219806477837261	703.3	104.91483318493255
coding_genes	all	very small	26.2	1.5491933384829668	11.3	0.8232726023485646	5.5	1.5811388300841898	0	0	0	0
coding_genes	species	average	1146.6	3.025814858109391	514.5	4.648775226993784	35477.3	246.70317297423549	2306	13.182479955523458	31845.3	293.6086019024496
coding_genes	species	small	18.9	1.5238839267549948	8.4	0.5163977794943222	303.6	39.933834164917236	4.7	1.8287822299126937	33.1	16.82887729799915
coding_genes	species	very large	125.1	1.3703203194062976	45.7	1.766981104093143	5371.5	361.62757085155994	159.2	25.849134952214122	1247.5	239.99039332625148
coding_genes	species	very small	9	0.9428090415820634	4.5	0.7071067811865476	8.1	1.911950719959998	0	0	0	0
coding_genes	strain	average	2361.6	5.18973345494095	1866	9.910712498212337	39211.4	360.7154002811635	2135	17.249798710580816	23734.4	325.0398949872667
coding_genes	strain	small	32.4	2.2211108331943574	15.5	1.6499158227686108	53.2	9.566144004305555	0	0	0	0
coding_genes	strain	very large	164.7	3.8600518131237567	168.4	4.765617600176404	7234.9	601.4876834427563	183.1	12.913816889930981	1271.3	177.01666588205757
coding_genes	strain	very small	18	1.8856180831641267	7.8	0.6324555320336759	2.6	0.699205898780101	0	0	0	0
