Physiology	Rank	Attribute	meanTP	sdTP	meanFP	sdFP	meanFN	sdFN	meanTN	sdTN	meanMCC	sdMCC
gram_stain	all	gram stain negative	369.2	14.793391918165504	0	0	19.1	3.2812599206199238	241.9	14.278577582440688	0.9386851866320483	0.010095011950608027
gram_stain	all	gram stain positive	220.7	11.98193084050591	0	0	14.1	3.2812599206199238	395.4	12.527303514058136	0.9527000989516831	0.010560974779686828
gram_stain	all	gram stain variable	1.6	1.1737877907772674	0	0	6.6	2.5473297566057065	622	2.6246692913372702	0.3847003300944671	0.22946211756298487
gram_stain	genus	gram stain negative	77.3	4.110960958218893	0	0	4.3	2.2135943621178655	46.2	5.329165037789691	0.9303131802056835	0.03707006999428672
gram_stain	genus	gram stain positive	40.2	5.902918298980975	0	0	2.5	2.1213203435596424	85.1	5.2588549662027715	0.9557276911711096	0.0374477325435309
gram_stain	genus	gram stain variable	0.4	0.699205898780101	0	0	4.1	2.183269719175042	123.3	2.5841396591085743	0.1290832659661075	0.21609122148355372
gram_stain	species	gram stain negative	148.1	7.385421074281712	0	0	7.3	2.110818693198342	113	6.0553007081949835	0.9462468373856738	0.014517070334856745
gram_stain	species	gram stain positive	104.5	6.802777210652851	0	0	7.4	1.8973665961010275	156.5	5.9113826169894	0.9441657821378161	0.014355071811726598
gram_stain	species	gram stain variable	0.4444444444444444	0.5270462766947299	0	0	0.8888888888888888	0.6009252125773316	267.1111111111111	0.7817359599705717	0.37906307646546866	0.4613922308794042
gram_stain	strain	gram stain negative	144.2	6.646636576327743	0	0	7.1	3.0349812373573433	82.7	6.583649781424012	0.9369548468303689	0.025849103607666596
gram_stain	strain	gram stain positive	76.3	5.735852159879995	0	0	3.9	2.4244128727957577	153.8	6.214677966091423	0.9635311296740726	0.02252873110064395
gram_stain	strain	gram stain variable	0.1	0.31622776601683794	0	0	2.4	1.2649110640673518	231.5	1.2692955176439846	0.05748670307160534	0.1817889168800705
