Physiology	Rank	Attribute	meanTP	sdTP	meanFP	sdFP	meanFN	sdFN	meanTN	sdTN	meanMCC	sdMCC
spore_shape	all	bacillus	0	0	0	0	1.5	1	69.25	0.9574271077563381	0	0
spore_shape	all	branched	0	NA	0	NA	1	NA	69	NA	0	NA
spore_shape	all	cell chain	0	0	0	0	1	0	69	0	0	0
spore_shape	all	coccus	0	0	0	0	2.888888888888889	1.1666666666666667	67.88888888888889	1.1666666666666667	0	0
spore_shape	all	elliptic	0.6	0.699205898780101	0	0	2.8	1.6865480854231356	67.4	1.7126976771553504	0.2758009145883924	0.301038710755274
spore_shape	all	endospore	62.1	2.998147576235848	0	0	6.8	2.485513584307633	1.9	1.5951314818673865	0.3939686175156756	0.19106197616946283
spore_shape	all	sigmoid	0	NA	0	NA	1	NA	70	NA	0	NA
spore_shape	all	spirillum	0	NA	0	NA	1	NA	70	NA	0	NA
spore_shape	genus	bacillus	0	0	0	0	1.2	0.44721359549995793	8.2	0.8366600265340756	0	0
spore_shape	genus	branched	0	NA	0	NA	1	NA	8	NA	0	NA
spore_shape	genus	cell chain	0	0	0	0	1	0	8.5	0.7071067811865476	0	0
spore_shape	genus	coccus	0	0	0	0	2.888888888888889	0.927960727138337	6.666666666666667	1.224744871391589	0	0
spore_shape	genus	elliptic	0.6	0.699205898780101	0	0	2.8	1.2292725943057183	6.1	1.3703203194062976	0.24054900453686257	0.27966278239315434
spore_shape	genus	endospore	7.5	1.1785113019775793	0	0	0.1	0.31622776601683794	1.9	0.7378647873726218	0.9755928946018454	0.07718204414995923
spore_shape	genus	sigmoid	0	NA	0	NA	1	NA	9	NA	0	NA
spore_shape	genus	spirillum	0	NA	0	NA	1	NA	9	NA	0	NA
